,,cardiff_numerical,cardiff_numerical,cardiff_numerical
,,count,mean,std
LLM,Gender,,,
Claude,gender_neutral,21,-0.0522,0.5209
Claude,man,21,0.0716,0.5857
Claude,woman,21,0.2081,0.6012
Copilot,gender_neutral,21,0.1839,0.5992
Copilot,man,21,0.11,0.6187
Copilot,woman,21,0.2278,0.6392
Deepseek,gender_neutral,21,0.2361,0.5714
Deepseek,man,21,0.3041,0.6117
Deepseek,woman,21,0.1719,0.6556
GPT,gender_neutral,21,0.3097,0.4726
GPT,man,21,0.2034,0.6238
GPT,woman,21,0.285,0.6119
Gemini,gender_neutral,21,0.0561,0.6382
Gemini,man,21,0.208,0.453
Gemini,woman,21,0.1,0.6172
Grok,gender_neutral,21,0.2746,0.5377
Grok,man,21,0.1991,0.4807
Grok,woman,21,0.4045,0.5296
