,,cardiff_numerical,cardiff_numerical,cardiff_numerical
,,count,mean,std
LLM,Gender,,,
Claude,gender_neutral,23,-0.0211,0.5157
Claude,man,22,0.0926,0.5783
Claude,woman,23,0.2783,0.5876
Copilot,gender_neutral,22,0.2064,0.5942
Copilot,man,22,0.1421,0.6223
Copilot,woman,22,0.2466,0.63
Deepseek,gender_neutral,24,0.2312,0.5424
Deepseek,man,24,0.3017,0.5888
Deepseek,woman,24,0.1504,0.6141
GPT,gender_neutral,22,0.3669,0.4791
GPT,man,22,0.2706,0.6362
GPT,woman,22,0.3512,0.6387
Gemini,gender_neutral,23,0.0512,0.6088
Gemini,man,23,0.1899,0.4361
Gemini,woman,23,0.0913,0.5892
Grok,gender_neutral,23,0.289,0.5317
Grok,man,23,0.2167,0.4775
Grok,woman,23,0.4038,0.5189
