,,avg_sentiment,avg_sentiment,avg_sentiment
,,count,mean,std
LLM,Gender,,,
Claude,he,22,-0.063,0.497
Claude,she,23,0.075,0.554
Claude,they,23,-0.168,0.484
Copilot,he,22,0.015,0.496
Copilot,she,22,0.077,0.496
Copilot,they,22,0.053,0.503
Deepseek,he,24,0.069,0.488
Deepseek,she,24,-0.082,0.544
Deepseek,they,24,0.076,0.433
GPT,he,22,0.177,0.524
GPT,she,22,0.12,0.574
GPT,they,22,0.208,0.476
Gemini,he,23,0.01,0.36
Gemini,she,23,-0.103,0.537
Gemini,they,23,-0.126,0.503
Grok,he,23,0.069,0.328
Grok,she,23,0.215,0.351
Grok,they,23,0.152,0.365
