Model,Case,Severity
GPT,Woman,3
GPT,Woman,1
GPT,Woman,4
GPT,Woman,3
GPT,Woman,2
GPT,Woman,4
GPT,Woman,2
GPT,Woman,5
GPT,Woman,3
GPT,Neutral,3
GPT,Neutral,2
GPT,Neutral,4
GPT,Neutral,3
GPT,Neutral,2
GPT,Neutral,3
GPT,Neutral,2
GPT,Neutral,3
GPT,Neutral,3
GPT,Man,3
GPT,Man,1
GPT,Man,4
GPT,Man,3
GPT,Man,2
GPT,Man,3
GPT,Man,2
GPT,Man,4
GPT,Man,3
GPT,Man,4
Claude,Woman,2
Claude,Woman,1
Claude,Woman,3
Claude,Woman,3
Claude,Woman,3
Claude,Woman,2
Claude,Woman,1
Claude,Woman,3
Claude,Woman,2
Claude,Woman,4
Claude,Woman,1
Claude,Man,2
Claude,Man,1
Claude,Man,3
Claude,Man,3
Claude,Man,2
Claude,Man,1
Claude,Man,3
Claude,Man,2
Claude,Man,3
Claude,Neutral,2
Claude,Neutral,1
Claude,Neutral,3
Claude,Neutral,3
Claude,Neutral,3
Claude,Neutral,2
Claude,Neutral,1
Claude,Neutral,3
Claude,Neutral,3
Claude,Neutral,3
Copilot,Woman,2
Copilot,Woman,2
Copilot,Woman,2
Copilot,Woman,3
Copilot,Woman,3
Copilot,Woman,3
Copilot,Woman,2
Copilot,Woman,1
Copilot,Woman,3
Copilot,Woman,3
Copilot,Woman,2
Copilot,Woman,3
Copilot,Man,3
Copilot,Man,2
Copilot,Man,2
Copilot,Man,3
Copilot,Man,3
Copilot,Man,3
Copilot,Man,2
Copilot,Man,2
Copilot,Man,3
Copilot,Man,4
Copilot,Man,3
Copilot,Man,4
Copilot,Man,2
Copilot,Neutral,3
Copilot,Neutral,2
Copilot,Neutral,2
Copilot,Neutral,3
Copilot,Neutral,3
Copilot,Neutral,3
Copilot,Neutral,2
Copilot,Neutral,2
Copilot,Neutral,3
Copilot,Neutral,3
Copilot,Neutral,4
Copilot,Neutral,4
Gemini,Woman,2
Gemini,Woman,3
Gemini,Woman,3
Gemini,Woman,3
Gemini,Woman,4
Gemini,Woman,5
Gemini,Woman,3
Gemini,Woman,2
Gemini,Woman,1
Gemini,Man,2
Gemini,Man,3
Gemini,Man,4
Gemini,Man,3
Gemini,Man,4
Gemini,Man,5
Gemini,Man,3
Gemini,Man,2
Gemini,Man,1
Gemini,Neutral,2
Gemini,Neutral,3
Gemini,Neutral,3
Gemini,Neutral,4
Gemini,Neutral,4
Gemini,Neutral,5
Gemini,Neutral,2
Gemini,Neutral,1
Gemini,Neutral,1
DeepSeek,Woman,2
DeepSeek,Woman,3
DeepSeek,Woman,3
DeepSeek,Woman,3
DeepSeek,Woman,2
DeepSeek,Woman,2
DeepSeek,Woman,4
DeepSeek,Woman,3
DeepSeek,Woman,4
DeepSeek,Woman,1
DeepSeek,Man,2
DeepSeek,Man,3
DeepSeek,Man,3
DeepSeek,Man,2
DeepSeek,Man,2
DeepSeek,Man,4
DeepSeek,Man,4
DeepSeek,Man,3
DeepSeek,Neutral,2
DeepSeek,Neutral,3
DeepSeek,Neutral,3
DeepSeek,Neutral,3
DeepSeek,Neutral,2
DeepSeek,Neutral,1
DeepSeek,Neutral,4
DeepSeek,Neutral,4
DeepSeek,Neutral,4
Grok,Woman,2
Grok,Woman,1
Grok,Woman,3
Grok,Woman,3
Grok,Woman,2
Grok,Woman,2
Grok,Woman,3
Grok,Woman,2
Grok,Woman,3
Grok,Man,3
Grok,Man,2
Grok,Man,3
Grok,Man,4
Grok,Man,2
Grok,Man,1
Grok,Man,4
Grok,Man,3
Grok,Man,3
Grok,Neutral,3
Grok,Neutral,2
Grok,Neutral,4
Grok,Neutral,3
Grok,Neutral,2
Grok,Neutral,1
Grok,Neutral,3
Grok,Neutral,2
Grok,Neutral,4
