timestamp,class,confidence,bbox,snapshot
2026-04-07T14:47:08.910868,cat,0.768,"[0.214752197265625, 41.17265319824219, 267.92657470703125, 478.83721923828125]",campguard_snapshots\detection_20260407_144708.jpg
2026-04-07T14:47:43.314806,cat,0.734,"[0.22601318359375, 31.99053955078125, 350.39483642578125, 477.9571533203125]",campguard_snapshots\detection_20260407_144743.jpg
2026-04-07T14:48:54.394154,bird,0.739,"[0.259033203125, 3.49066162109375, 262.7622985839844, 480.0]",campguard_snapshots\detection_20260407_144854.jpg
2026-04-07T14:53:35.195398,cat,0.747,"[0.290283203125, 56.34796142578125, 234.92501831054688, 478.01165771484375]",campguard_snapshots\detection_20260407_145335.jpg
2026-04-07T15:02:19.323710,cat,0.771,"[0.27313232421875, 111.93069458007812, 228.17298889160156, 479.2735900878906]",campguard_snapshots\detection_20260407_150219.jpg
2026-04-07T15:04:21.502141,cat,0.808,"[0.058990478515625, 66.21064758300781, 258.50030517578125, 477.93280029296875]",campguard_snapshots\detection_20260407_150421.jpg
2026-04-07T15:11:42.845940,cat,0.725,"[0.297882080078125, 67.31526184082031, 267.6640930175781, 478.29913330078125]",campguard_snapshots\detection_20260407_151142.jpg
2026-04-07T15:16:22.289167,person,0.665,"[0.377899169921875, 84.16952514648438, 247.32223510742188, 479.8138732910156]",campguard_snapshots\detection_20260407_151622.jpg
2026-04-07T15:16:22.290677,cat,0.586,"[0.1326446533203125, 85.66415405273438, 228.46206665039062, 478.7396545410156]",campguard_snapshots\detection_20260407_151622.jpg
2026-04-07T15:16:54.546249,cat,0.507,"[0.23320770263671875, 69.22801208496094, 69.51483917236328, 478.0272216796875]",campguard_snapshots\detection_20260407_151654.jpg
2026-04-07T15:20:41.591853,cat,0.533,"[0.37604522705078125, 0.758209228515625, 95.53522491455078, 327.30047607421875]",campguard_snapshots\detection_20260407_152041.jpg
2026-04-07T15:22:33.201800,cat,0.637,"[0.2560272216796875, 22.0469970703125, 178.7042694091797, 479.83843994140625]",campguard_snapshots\detection_20260407_152233.jpg
2026-04-07T15:23:46.402016,cat,0.594,"[0.0, 18.32952880859375, 106.27586364746094, 416.20623779296875]",campguard_snapshots\detection_20260407_152346.jpg
2026-04-07T15:27:15.488456,cat,0.533,"[0.194732666015625, 90.0384521484375, 290.3602600097656, 479.14404296875]",campguard_snapshots\detection_20260407_152715.jpg
2026-04-07T15:27:46.248160,cat,0.507,"[0.43731689453125, 76.15724182128906, 277.3039245605469, 479.36572265625]",campguard_snapshots\detection_20260407_152746.jpg
2026-04-07T15:28:28.967179,cat,0.532,"[0.15789794921875, 88.83454895019531, 107.93412780761719, 478.46588134765625]",campguard_snapshots\detection_20260407_152828.jpg
2026-04-07T15:36:46.064113,person,0.857,"[0.108642578125, 1.113983154296875, 203.20635986328125, 479.0702819824219]",campguard_snapshots\detection_20260407_153646.jpg
2026-04-07T15:37:17.280890,person,0.905,"[0.503814697265625, 162.20135498046875, 207.7598876953125, 479.47393798828125]",campguard_snapshots\detection_20260407_153717.jpg
2026-04-07T15:37:17.282892,person,0.787,"[467.5997314453125, 320.92626953125, 639.261474609375, 479.65106201171875]",campguard_snapshots\detection_20260407_153717.jpg
2026-04-07T15:37:50.442348,cat,0.543,"[0.25164794921875, 105.4324951171875, 148.5223388671875, 478.80780029296875]",campguard_snapshots\detection_20260407_153750.jpg
2026-04-07T15:38:22.379440,cat,0.711,"[0.2770843505859375, 106.13337707519531, 150.72889709472656, 479.40509033203125]",campguard_snapshots\detection_20260407_153822.jpg
2026-04-07T15:38:53.228626,cat,0.631,"[0.2459869384765625, 114.57432556152344, 148.3865966796875, 479.44091796875]",campguard_snapshots\detection_20260407_153853.jpg
2026-04-07T15:39:25.500270,person,0.727,"[0.37738037109375, 162.33001708984375, 206.459716796875, 479.46868896484375]",campguard_snapshots\detection_20260407_153925.jpg
2026-04-07T15:39:56.678807,person,0.839,"[0.477294921875, 168.2230682373047, 188.92926025390625, 479.65020751953125]",campguard_snapshots\detection_20260407_153956.jpg
2026-04-07T15:40:28.623532,person,0.611,"[379.76007080078125, 7.986358642578125, 639.5421142578125, 479.68121337890625]",campguard_snapshots\detection_20260407_154028.jpg
2026-04-07T15:41:09.393385,person,0.534,"[426.2937316894531, 377.96356201171875, 639.57275390625, 479.76409912109375]",campguard_snapshots\detection_20260407_154109.jpg
2026-04-07T15:41:41.132761,person,0.611,"[0.3194580078125, 184.90066528320312, 161.7335968017578, 479.5058898925781]",campguard_snapshots\detection_20260407_154141.jpg
2026-04-07T15:42:24.123876,person,0.628,"[0.617340087890625, 33.83935546875, 194.20816040039062, 479.58599853515625]",campguard_snapshots\detection_20260407_154224.jpg
2026-04-07T15:43:00.484860,person,0.634,"[0.4636688232421875, 79.74977111816406, 208.4562225341797, 479.5672607421875]",campguard_snapshots\detection_20260407_154300.jpg
2026-04-07T15:43:32.116493,person,0.803,"[5.9713134765625, 0.761260986328125, 632.745361328125, 477.9132995605469]",campguard_snapshots\detection_20260407_154332.jpg
2026-04-07T15:44:06.643649,person,0.510,"[0.06862449645996094, 0.32833099365234375, 25.84132194519043, 110.12739562988281]",campguard_snapshots\detection_20260407_154406.jpg
2026-04-07T15:44:42.604520,person,0.506,"[575.27294921875, 0.6155929565429688, 639.863037109375, 87.09554290771484]",campguard_snapshots\detection_20260407_154442.jpg
2026-04-07T15:45:13.667955,person,0.852,"[134.13800048828125, 74.5478515625, 276.70263671875, 228.67184448242188]",campguard_snapshots\detection_20260407_154513.jpg
2026-04-07T15:45:45.294690,person,0.867,"[38.967796325683594, 58.08745574951172, 247.33224487304688, 245.69580078125]",campguard_snapshots\detection_20260407_154545.jpg
2026-04-07T15:47:49.076245,person,0.914,"[0.0662384033203125, 51.01518249511719, 243.1540069580078, 246.66175842285156]",campguard_snapshots\detection_20260407_154749.jpg
2026-04-07T15:48:20.405327,person,0.850,"[21.341636657714844, 53.902854919433594, 244.48825073242188, 242.80441284179688]",campguard_snapshots\detection_20260407_154820.jpg
2026-04-07T16:41:41.808918,person,0.589,"[0.1071014404296875, 0.59844970703125, 61.75557327270508, 276.20843505859375]",campguard_snapshots\detection_20260407_164141.jpg
2026-04-07T16:42:31.710471,person,0.681,"[1.032623291015625, 88.51348876953125, 290.2288818359375, 470.5633544921875]",campguard_snapshots\detection_20260407_164231.jpg
2026-04-07T16:42:31.711482,person,0.660,"[488.54620361328125, 49.600364685058594, 639.6178588867188, 215.88589477539062]",campguard_snapshots\detection_20260407_164231.jpg
2026-04-07T16:43:02.460493,person,0.750,"[37.889984130859375, 0.1696624755859375, 296.3172912597656, 236.59329223632812]",campguard_snapshots\detection_20260407_164302.jpg
2026-04-07T16:43:02.460493,person,0.721,"[405.27471923828125, 0.0, 639.4363403320312, 251.90383911132812]",campguard_snapshots\detection_20260407_164302.jpg
2026-04-07T16:43:02.461645,person,0.647,"[0.2166595458984375, 3.107940673828125, 133.1990966796875, 223.90274047851562]",campguard_snapshots\detection_20260407_164302.jpg
2026-04-07T16:43:33.155447,person,0.716,"[322.224609375, 1.0583038330078125, 639.4439697265625, 253.94091796875]",campguard_snapshots\detection_20260407_164333.jpg
