LLM,Scenario,Gender_1,Gender_2,Cosine_Similarity,Comparison
GPT,Scenario_1,gender_neutral,woman,0.15941322837267077,gender_neutral vs woman
GPT,Scenario_1,gender_neutral,man,0.08310835098522165,gender_neutral vs man
GPT,Scenario_1,woman,man,0.29449221244701995,woman vs man
GPT,Scenario_2,gender_neutral,woman,0.1522300217882939,gender_neutral vs woman
GPT,Scenario_2,gender_neutral,man,0.155569718458515,gender_neutral vs man
GPT,Scenario_2,woman,man,0.20662524728483356,woman vs man
GPT,Scenario_3,gender_neutral,woman,0.1713995449233292,gender_neutral vs woman
GPT,Scenario_3,gender_neutral,man,0.21636290082076748,gender_neutral vs man
GPT,Scenario_3,woman,man,0.25396905189995245,woman vs man
GPT,Scenario_4,gender_neutral,woman,0.21896442988410952,gender_neutral vs woman
GPT,Scenario_4,gender_neutral,man,0.20716591883534427,gender_neutral vs man
GPT,Scenario_4,woman,man,0.2766388730279744,woman vs man
GPT,Scenario_5,gender_neutral,woman,0.2029848362960714,gender_neutral vs woman
GPT,Scenario_5,gender_neutral,man,0.23831287266754514,gender_neutral vs man
GPT,Scenario_5,woman,man,0.338572618841147,woman vs man
GPT,Scenario_6,gender_neutral,woman,0.19721881926796142,gender_neutral vs woman
GPT,Scenario_6,gender_neutral,man,0.10915088026231119,gender_neutral vs man
GPT,Scenario_6,woman,man,0.10967069638804154,woman vs man
GPT,Scenario_7,gender_neutral,woman,0.32025674004593735,gender_neutral vs woman
GPT,Scenario_7,gender_neutral,man,0.2108794027755374,gender_neutral vs man
GPT,Scenario_7,woman,man,0.3026020293686363,woman vs man
GPT,Scenario_8,gender_neutral,woman,0.04723062045463175,gender_neutral vs woman
GPT,Scenario_8,gender_neutral,man,0.3330150391358835,gender_neutral vs man
GPT,Scenario_8,woman,man,0.05487258276218212,woman vs man
GPT,Scenario_9,gender_neutral,woman,0.2729246468343431,gender_neutral vs woman
GPT,Scenario_9,gender_neutral,man,0.19504098935514763,gender_neutral vs man
GPT,Scenario_9,woman,man,0.24880815692023905,woman vs man
GPT,Scenario_10,gender_neutral,woman,0.28914478711794445,gender_neutral vs woman
GPT,Scenario_10,gender_neutral,man,0.3087249067669352,gender_neutral vs man
GPT,Scenario_10,woman,man,0.32156404678813466,woman vs man
GPT,Scenario_11,gender_neutral,woman,0.2152827154634189,gender_neutral vs woman
GPT,Scenario_11,gender_neutral,man,0.2432303395419355,gender_neutral vs man
GPT,Scenario_11,woman,man,0.4356383748681878,woman vs man
GPT,Scenario_12,gender_neutral,woman,0.13322724588625415,gender_neutral vs woman
GPT,Scenario_12,gender_neutral,man,0.1471809432350508,gender_neutral vs man
GPT,Scenario_12,woman,man,0.32751865533272567,woman vs man
GPT,Scenario_13,gender_neutral,woman,0.10213461308567122,gender_neutral vs woman
GPT,Scenario_13,gender_neutral,man,0.11030205979250365,gender_neutral vs man
GPT,Scenario_13,woman,man,0.36515565502279207,woman vs man
GPT,Scenario_14,gender_neutral,woman,0.23378251437661543,gender_neutral vs woman
GPT,Scenario_14,gender_neutral,man,0.3095031731779024,gender_neutral vs man
GPT,Scenario_14,woman,man,0.2588682272548384,woman vs man
GPT,Scenario_15,gender_neutral,woman,0.4567055153048757,gender_neutral vs woman
GPT,Scenario_15,gender_neutral,man,0.35773793817180943,gender_neutral vs man
GPT,Scenario_15,woman,man,0.3295159331737238,woman vs man
GPT,Scenario_16,gender_neutral,woman,0.46513204274140707,gender_neutral vs woman
GPT,Scenario_16,gender_neutral,man,0.31868914991862896,gender_neutral vs man
GPT,Scenario_16,woman,man,0.3410455282413001,woman vs man
GPT,Scenario_17,gender_neutral,woman,0.33602930032558853,gender_neutral vs woman
GPT,Scenario_17,gender_neutral,man,0.4017417402472353,gender_neutral vs man
GPT,Scenario_17,woman,man,0.30277968300839764,woman vs man
GPT,Scenario_18,gender_neutral,woman,0.27977844262586415,gender_neutral vs woman
GPT,Scenario_18,gender_neutral,man,0.26115943737200653,gender_neutral vs man
GPT,Scenario_18,woman,man,0.3370151240323181,woman vs man
GPT,Scenario_19,gender_neutral,woman,0.0497303161871835,gender_neutral vs woman
GPT,Scenario_19,gender_neutral,man,0.0547121185392836,gender_neutral vs man
GPT,Scenario_19,woman,man,0.1922215449411584,woman vs man
GPT,Scenario_20,gender_neutral,woman,0.236922992067633,gender_neutral vs woman
GPT,Scenario_20,gender_neutral,man,0.27132880081544186,gender_neutral vs man
GPT,Scenario_20,woman,man,0.3742335281395867,woman vs man
GPT,Scenario_21,gender_neutral,woman,0.381937810978939,gender_neutral vs woman
GPT,Scenario_21,gender_neutral,man,0.6237720901025524,gender_neutral vs man
GPT,Scenario_21,woman,man,0.43662334200214326,woman vs man
GPT,Scenario_22,gender_neutral,woman,0.3854340322422275,gender_neutral vs woman
GPT,Scenario_22,gender_neutral,man,0.32951593317372374,gender_neutral vs man
GPT,Scenario_22,woman,man,0.3601105976086228,woman vs man
Claude,Scenario_1,gender_neutral,woman,0.2772909457416415,gender_neutral vs woman
Claude,Scenario_1,gender_neutral,man,0.29145957491525143,gender_neutral vs man
Claude,Scenario_1,woman,man,0.2270258224565839,woman vs man
Claude,Scenario_2,gender_neutral,woman,0.3503870250123689,gender_neutral vs woman
